oblast,month,market_type,segment,class_label,room_count,avg_uah_m2,avg_usd_m2,listing_count,source
Kharkiv,2022-12,primary_sale,class,економ,,18500,460,7,lun_ua_api_price
Kharkiv,2022-12,primary_sale,class,комфорт,,23200,580,7,lun_ua_api_price
Kharkiv,2022-12,primary_sale,class,бізнес,,32000,800,5,lun_ua_api_price
Kharkiv,2022-12,primary_sale,class,преміум,,0,0,0,lun_ua_api_price
Kharkiv,2022-09,primary_sale,class,економ,,18300,450,6,lun_ua_api_price
Kharkiv,2022-09,primary_sale,class,комфорт,,20700,510,6,lun_ua_api_price
Kharkiv,2022-09,primary_sale,class,бізнес,,32700,800,4,lun_ua_api_price
Kharkiv,2022-09,primary_sale,class,преміум,,0,0,0,lun_ua_api_price
Kharkiv,2021-02,primary_sale,class,економ,,15400,550,19,lun_ua_api_price
Kharkiv,2021-02,primary_sale,class,комфорт,,18500,660,25,lun_ua_api_price
Kharkiv,2021-02,primary_sale,class,бізнес,,24800,880,20,lun_ua_api_price
Kharkiv,2021-02,primary_sale,class,преміум,,36700,1310,15,lun_ua_api_price
Kharkiv,2022-01,primary_sale,class,економ,,17500,640,14,lun_ua_api_price
Kharkiv,2022-01,primary_sale,class,комфорт,,22000,810,21,lun_ua_api_price
Kharkiv,2022-01,primary_sale,class,бізнес,,27300,1000,20,lun_ua_api_price
Kharkiv,2022-01,primary_sale,class,преміум,,41000,1500,15,lun_ua_api_price
Kharkiv,2022-03,primary_sale,class,економ,,17600,590,15,lun_ua_api_price
Kharkiv,2022-03,primary_sale,class,комфорт,,26600,890,20,lun_ua_api_price
Kharkiv,2022-03,primary_sale,class,бізнес,,29500,980,23,lun_ua_api_price
Kharkiv,2022-03,primary_sale,class,преміум,,45400,1520,17,lun_ua_api_price
Kharkiv,2022-04,primary_sale,class,економ,,17600,590,15,lun_ua_api_price
Kharkiv,2022-04,primary_sale,class,комфорт,,26600,890,20,lun_ua_api_price
Kharkiv,2022-04,primary_sale,class,бізнес,,29500,980,23,lun_ua_api_price
Kharkiv,2022-04,primary_sale,class,преміум,,45400,1520,17,lun_ua_api_price
Kharkiv,2022-07,primary_sale,class,економ,,18300,610,6,lun_ua_api_price
Kharkiv,2022-07,primary_sale,class,комфорт,,20300,680,6,lun_ua_api_price
