hromada_code,hromada_name,oblast,budget_code,month,pit_total_uah
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2023-01,2747902.42
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2023-02,5868941.339999999
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2023-03,8828606.56
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2023-04,12163967.08
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2023-05,15742136.65
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2023-06,20443309.349999998
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2023-07,26180996.009999998
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2023-08,34136313.5
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2023-09,42953405.67
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2023-10,50733111.03
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2023-11,50327125.98
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2023-12,56455606.620000005
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2024-01,2120658.41
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2024-02,3954674.4899999998
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2024-03,5818158.06
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2024-04,7699915.279999999
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2024-05,10493446.46
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2024-06,12540008.79
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2024-07,14404742.270000001
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2024-08,16510737.33
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2024-09,23087329.19
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2024-10,28119695.729999997
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2024-11,30566166.85
UA59040030030074236,Бюджет Великописарівської селищної територіальної громади,Sumy,1853900000,2024-12,34035069.330000006
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2023-01,1175662.1800000002
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2023-02,1967436.57
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2023-03,2772107.54
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2023-04,3597546.21
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2023-05,4630594.109999999
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2023-06,5693048.53
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2023-07,7320415.26
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2023-08,8342399.670000001
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2023-09,9309519.639999999
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2023-10,10922698.02
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2023-11,12002609.88
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2023-12,13960673.139999999
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2024-01,771878.9500000001
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2024-02,1512939.91
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2024-03,2204997.17
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2024-04,3053736.7199999997
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2024-05,4149569.8
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2024-06,5302002.970000001
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2024-07,7182377.85
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2024-08,9050065.12
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2024-09,11182013.379999999
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2024-10,12640982.139999999
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2024-11,14949878.700000001
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,1852800000,2024-12,16913580.25
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2021-01,376369.05000000005
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2021-02,1057304.6800000002
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2021-03,1676786.1500000001
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2021-04,2424755.8299999996
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2021-05,3081838.66
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2021-06,3839632.49
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2021-07,4955658.84
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2021-08,6198206.08
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2021-09,7230258.58
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2021-10,8070295.37
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2021-11,8827560.25
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2021-12,10316190.16
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2022-01,516179.39
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2022-02,1086794.07
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2022-03,1606016.29
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2022-04,2137510.91
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2022-05,2753705.5900000003
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2022-06,3252955.4600000004
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2022-07,3865640.79
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2022-08,4640267.14
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2022-09,5843976.65
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2022-10,6651628.17
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2022-11,8034481.45
UA59040170080022272,Бюджет Чупахівської селищної територіальної громади,Sumy,18528000000,2022-12,10014436.89
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2023-01,29353147.44
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2023-02,52558565.779999994
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2023-03,77133039.62
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2023-04,84657484.39
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2023-05,90522093.34000002
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2023-06,96758366.96
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2023-07,103095227.36000001
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2023-08,106931636.75
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2023-09,116800120.55000001
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2023-10,159941385.06
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2023-11,128279124.16
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2023-12,138281668.63000003
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2024-01,2587465.1500000004
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2024-02,5912127.6899999995
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2024-03,9056960.52
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2024-04,15413500.599999998
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2024-05,19409241.98
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2024-06,24296026.689999998
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2024-07,29914379.88
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2024-08,35064794.16
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2024-09,43854909.6
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2024-10,50609976.940000005
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2024-11,60459954.96
UA59020130230020110,Бюджет Попівської сільської територіальної громади,Sumy,1854400000,2024-12,66321555.73
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2021-01,1005368.19
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2021-02,4413923.92
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2021-03,7195160.43
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2021-04,10111075.11
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2021-05,13048907.61
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2021-06,17000257.09
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2021-07,21069592.720000003
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2021-08,25034135.249999996
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2021-09,28197153.240000002
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2021-10,31896518.54
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2021-11,36362539.83
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2021-12,43622213.64
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2022-01,2335008.94
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2022-02,4930454.07
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2022-03,6857846.56
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2022-04,8441778.92
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2022-05,34884519.370000005
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2022-06,38117957.720000006
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2022-07,40693115.37
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2022-08,43267432.64
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2022-09,46928882.0
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2022-10,54223388.8
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2022-11,63189169.559999995
UA59020130240028734,Бюджет Попівської сільської територіальної громади,Sumy,18544000000,2022-12,85623667.99000001
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2023-01,631094.92
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2023-02,1310050.3900000001
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2023-03,2102514.34
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2023-04,2691549.54
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2023-05,3542144.83
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2023-06,4550821.15
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2023-07,5651991.57
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2023-08,6594630.12
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2023-09,7495495.53
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2023-10,9213670.870000001
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2023-11,10517361.770000001
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2023-12,12053726.2
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2024-01,797173.8300000001
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2024-02,1425515.8399999999
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2024-03,2371964.87
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2024-04,3169329.1
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2024-05,4051933.74
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2024-06,5098277.99
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2024-07,6157339.19
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2024-08,7152980.42
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2024-09,10753431.589999998
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2024-10,12703504.46
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2024-11,14019603.14
UA59040050080032899,Бюджет Грунської сільської територіальної громади,Sumy,1851100000,2024-12,15202585.87
UA59040050090079733,Бюджет Грунської сільської територіальної громади,Sumy,18511000000,2021-01,522673.2
UA59040050090079733,Бюджет Грунської сільської територіальної громади,Sumy,18511000000,2021-02,1052013.97
UA59040050090079733,Бюджет Грунської сільської територіальної громади,Sumy,18511000000,2021-03,1639979.04
UA59040050090079733,Бюджет Грунської сільської територіальної громади,Sumy,18511000000,2021-04,2346369.5700000003
UA59040050090079733,Бюджет Грунської сільської територіальної громади,Sumy,18511000000,2021-05,2937458.9200000004
UA59040050090079733,Бюджет Грунської сільської територіальної громади,Sumy,18511000000,2021-06,3754274.17
UA59040050090079733,Бюджет Грунської сільської територіальної громади,Sumy,18511000000,2021-07,4522309.25
UA59040050090079733,Бюджет Грунської сільської територіальної громади,Sumy,18511000000,2021-08,5812961.51
UA59040050090079733,Бюджет Грунської сільської територіальної громади,Sumy,18511000000,2021-09,6958781.71
UA59040050090079733,Бюджет Грунської сільської територіальної громади,Sumy,18511000000,2021-10,7922952.71
UA59040050090079733,Бюджет Грунської сільської територіальної громади,Sumy,18511000000,2021-11,8643908.67
