label,treatment,phase,delta,se,p,ci_lo,ci_hi,pct,n_obs,n_hrom,n_treated,idp_ctrl,r2,sig
KSE/full/IDP,T_kse,post,-0.19915487278902944,0.08246927206869029,0.015739620552952107,-0.3607946460436624,-0.03751509953439647,-18.057702281662092,7536,157.0,45.0,True,0.9501408536698785,**
KSE/full/IDP,T_kse,ph1_occ,0.1674715606048397,0.04376343299852621,0.00012984815615398965,0.08169523192772833,0.2532478892819511,18.23116654781338,7536,157.0,45.0,True,0.9495294448662227,***
KSE/full/IDP,T_kse,ph2_lib,0.0591454068787173,0.03920497350059195,0.13139592173731654,-0.01769634118244292,0.1359871549398775,6.092949597154962,7536,157.0,45.0,True,0.9495355095393773,
KSE/full/IDP,T_kse,ph3_rec,-0.1845143010467638,0.06010964568304899,0.0021432495083098433,-0.30232920658553986,-0.06669939550798779,-16.849195162111073,7536,157.0,45.0,True,0.9503432293469589,***
KSE/full/IDP,T_kse,ph4_lr,-0.04787261669193378,0.0620405511120233,0.44033105835554354,-0.16947209687149944,0.07372686348763188,-4.674479185432312,7536,157.0,45.0,True,0.9493869140955806,
KSE/full/noIDP,T_kse,post,-0.40350456659875167,0.09744530873390725,3.4604968070910756e-05,-0.5944973717172098,-0.21251176148029347,-33.20250235816688,7536,157.0,45.0,False,0.9485283389697609,***
KSE/full/noIDP,T_kse,ph1_occ,0.34191131191306506,0.06211975754297506,3.71128250929416e-08,0.22015658712883396,0.46366603669729617,40.76354514827128,7536,157.0,45.0,False,0.9429880549712186,***
KSE/full/noIDP,T_kse,ph2_lib,0.043954544778514876,0.03794034328288901,0.24665298819878467,-0.030408528055947584,0.11831761761297734,4.493485606359715,7536,157.0,45.0,False,0.9418676687715076,
KSE/full/noIDP,T_kse,ph3_rec,-0.3385592701915954,0.07680059669550464,1.041901780681072e-05,-0.48908843971478444,-0.18803010066840628,-28.720346945008245,7536,157.0,45.0,False,0.9458924848487805,***
KSE/full/noIDP,T_kse,ph4_lr,-0.22583438545614654,0.0729680175292991,0.0019682770967151416,-0.3688516998135728,-0.0828170710987203,-20.214977367421405,7536,157.0,45.0,False,0.9435452421395752,***
KSE/Sumy,T_kse,post,0.0,0.0,,0.0,0.0,0.0,2352,49.0,0.0,False,0.9703308462984781,
KSE/Sumy,T_kse,ph1_occ,0.0,0.0,,0.0,0.0,0.0,2352,49.0,0.0,False,0.9702272287005768,
KSE/Sumy,T_kse,ph2_lib,0.0,0.0,,0.0,0.0,0.0,2352,49.0,0.0,False,0.9702408619655167,
KSE/Sumy,T_kse,ph3_rec,0.0,0.0,,0.0,0.0,0.0,2352,49.0,0.0,False,0.9704403032935801,
KSE/Sumy,T_kse,ph4_lr,0.0,0.0,,0.0,0.0,0.0,2352,49.0,0.0,False,0.9706589478545713,
ACLED/full/IDP,T_acled,post,0.06578392321884093,0.07735534886572362,0.3950960216948527,-0.08583256055797737,0.2174004069956592,6.799592311091618,7536,157.0,88.0,True,0.9496307609179487,
ACLED/full/IDP,T_acled,ph1_occ,0.1102223784652949,0.06038255187292759,0.06794051880362598,-0.008127423205643178,0.22857218013623298,11.652633426626146,7536,157.0,88.0,True,0.949303679101453,*
ACLED/full/IDP,T_acled,ph2_lib,0.06802662961206143,0.03923118428215148,0.08291918641619563,-0.008866491580955455,0.14491975080507832,7.039381227122399,7536,157.0,88.0,True,0.9494842334350428,*
ACLED/full/IDP,T_acled,ph3_rec,-0.04332719278597141,0.06507490237636274,0.5055357740223625,-0.17087400144364237,0.08421961587169954,-4.240198036033183,7536,157.0,88.0,True,0.9494844715012104,
ACLED/full/IDP,T_acled,ph4_lr,0.026328530635243493,0.06153114711383862,0.66873158545529,-0.0942725177078802,0.1469295789783672,2.667818831099633,7536,157.0,88.0,True,0.9493648898064563,
Cross-sect DiD-D (T_acled),,2022,0.03869400301618839,0.3088903151891636,0.9004887339549315,-0.5667310147545722,0.644119020786949,3.9452365692354663,146,,,,,
Cross-sect DiD-D (T_acled),,2023,-0.2256029233918505,0.3895653210234524,0.5634294509723949,-0.9891509525978173,0.5379451058141163,-20.196508023989246,146,,,,,
Cross-sect DiD-D (T_acled),,2024,-0.3250377580301996,0.3611655603536665,0.36966051671941225,-1.032922256323386,0.38284674026298676,-27.749992705253078,146,,,,,
Cross-sect DiD-D (T_kse),,2022,0.03869400301618839,0.3088903151891636,0.9004887339549315,-0.5667310147545722,0.644119020786949,3.9452365692354663,146,,,,,
Cross-sect DiD-D (T_kse),,2023,-0.2256029233918505,0.3895653210234524,0.5634294509723949,-0.9891509525978173,0.5379451058141163,-20.196508023989246,146,,,,,
Cross-sect DiD-D (T_kse),,2024,-0.3250377580301996,0.3611655603536665,0.36966051671941225,-1.032922256323386,0.38284674026298676,-27.749992705253078,146,,,,,
