adm3_pcode,adm3_name,adm1_name,oblast_en,center_lon,center_lat,occupied_mar2022,dist_km,n_events_feb_apr_2022,adm3_name_en,adm3_name_uk,month,pit_total_uah,month_dt,year,month_num,post_invasion,during_occ,post_lib,log_pit
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-01,868616.78,2021-01-01,2021.0,1.0,0,0,0,13.674658468594748
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-02,2507981.11,2021-02-01,2021.0,2.0,0,0,0,14.734989047535663
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-03,3855264.63,2021-03-01,2021.0,3.0,0,0,0,15.164950467923473
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-04,5034159.88,2021-04-01,2021.0,4.0,0,0,0,15.4317574128477
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-05,6208446.050000001,2021-05-01,2021.0,5.0,0,0,0,15.64142135017256
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-06,7878794.210000001,2021-06-01,2021.0,6.0,0,0,0,15.87968555801289
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-07,9841329.29,2021-07-01,2021.0,7.0,0,0,0,16.102101451963982
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-08,11517051.19,2021-08-01,2021.0,8.0,0,0,0,16.259339294202814
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-09,13611779.5,2021-09-01,2021.0,9.0,0,0,0,16.426446188995396
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-10,14951893.7,2021-10-01,2021.0,10.0,0,0,0,16.520348585556622
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-11,16918935.310000002,2021-11-01,2021.0,11.0,0,0,0,16.643944044326968
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2021-12,19118266.74,2021-12-01,2021.0,12.0,0,0,0,16.766154862110774
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2022-01,1449267.95,2022-01-01,2022.0,1.0,0,0,0,14.186569814845319
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2022-02,3050392.3400000003,2022-02-01,2022.0,2.0,1,1,0,14.930781104202888
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2022-03,3874924.95,2022-03-01,2022.0,3.0,1,1,0,15.170037110909574
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2022-04,4726476.899999999,2022-04-01,2022.0,4.0,1,1,0,15.368690853072337
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2022-05,5764759.39,2022-05-01,2022.0,5.0,1,0,1,15.567274147942092
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2022-06,7076744.84,2022-06-01,2022.0,6.0,1,0,1,15.772324732890336
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2022-07,8842896.2,2022-07-01,2022.0,7.0,1,0,1,15.995125118476166
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2022-08,11008230.63,2022-08-01,2022.0,8.0,1,0,1,16.21415388090336
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2022-09,12478987.94,2022-09-01,2022.0,9.0,1,0,1,16.339556903200634
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2022-10,14004703.58,2022-10-01,2022.0,10.0,1,0,1,16.45490387255883
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2022-11,23697094.53,2022-11-01,2022.0,11.0,1,0,1,16.980863047118522
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2022-12,33767300.839999996,2022-12-01,2022.0,12.0,1,0,1,17.335003491035284
UA5902001,Bochechkivska,Sumska,Sumy,33.48042914630393,51.316741297956625,0,10.913405760308477,0,Bochechkivska,Бочечківська,2023-01,1772112.67,2023-01-01,2023.0,1.0,1,0,1,14.387683555945308
