tau,se,t_stat,p_value,ci_lo,ci_hi,n,n_treated,n_control,bw,year,outcome
1.0111827594569724,1.0436173350212912,0.9689210072735549,0.33546891453964467,-1.034307217184758,3.0566727360987027,85,38,47,8.8,2021,log_pit_level (balance)
1.039055305343855,0.9272154879042157,1.1206190134856684,0.26533555634687994,-0.7782870509484079,2.8563976616361177,97,46,51,10.0,2021,log_pit_level (balance)
1.0692032911392666,0.4783397107746427,2.235238402865937,0.026940935691257765,0.13165745802096684,2.006749124257566,148,79,69,20.0,2021,log_pit_level (balance)
1.1153149995656926,0.41463793336872146,2.689852784342059,0.00797536906548858,0.30262465016299855,1.9280053489683866,151,82,69,30.0,2021,log_pit_level (balance)
1.2408390332872403,0.3208310311600114,3.8675779858351165,0.0001618006128728071,0.6120102122136181,1.8696678543608627,158,88,70,50.0,2021,log_pit_level (balance)
0.08976108867074946,0.29197455185720056,0.30742778129050774,0.7592051730394261,-0.4825090329693636,0.6620312103108625,97,46,51,10.0,2022,log(pit_2022/pit_2021)
0.09419891754685172,0.28457678092017696,0.3310140667213263,0.74136287233109,-0.46357157305669516,0.6519694081503986,99,48,51,10.2,2022,log(pit_2022/pit_2021)
-0.00019148903350385327,0.1550722374918451,-0.0012348376253610402,0.9990164513947759,-0.30413307451752025,0.30375009645051254,148,79,69,20.0,2022,log(pit_2022/pit_2021)
-0.004953928735366551,0.13859125734089825,-0.03574488629669606,0.9715342725141305,-0.2765927931235271,0.266684935652794,151,82,69,30.0,2022,log(pit_2022/pit_2021)
0.08393458220605259,0.11064166310666525,0.7586164185288373,0.44924152246134064,-0.1329230774830113,0.30079224189511644,158,88,70,50.0,2022,log(pit_2022/pit_2021)
-0.3103793432000844,0.786273024454386,-0.3947475413078863,0.6940929568718429,-1.8514744711306808,1.2307157847305121,83,38,45,8.5,2023,log(pit_2023/pit_2021)
-0.1836751830382505,0.6548139139513934,-0.2804998170089047,0.7797170969689715,-1.4671104543829816,1.0997600883064804,97,46,51,10.0,2023,log(pit_2023/pit_2021)
-0.3203069631353311,0.3097111412125029,-1.034211949500254,0.30277081804090583,-0.9273407999118368,0.2867268736411746,148,79,69,20.0,2023,log(pit_2023/pit_2021)
-0.3206785131749797,0.26333430824796544,-1.2177619973202154,0.22526552768349115,-0.836813757340992,0.1954567309910326,151,82,69,30.0,2023,log(pit_2023/pit_2021)
-0.1900188373089407,0.201920779749259,-0.9410563763912863,0.3481497815256934,-0.5857835656174883,0.20574589099960694,158,88,70,50.0,2023,log(pit_2023/pit_2021)
-0.5612904368925663,0.4524597876401183,-1.240531097404419,0.21845064890062685,-1.448111620667198,0.3255307468820655,83,38,45,8.6,2024,log(pit_2024/pit_2021)
-0.5322234948661129,0.3887097718165513,-1.3692053389316177,0.17423271902644408,-1.2940946476265536,0.22964765789432773,97,46,51,10.0,2024,log(pit_2024/pit_2021)
-0.36838636776183825,0.20816867816311152,-1.7696532014926252,0.07890148385203415,-0.7763969769615369,0.03962424143786031,148,79,69,20.0,2024,log(pit_2024/pit_2021)
-0.3261849681690349,0.1859006667664928,-1.754619678576792,0.08140795354710113,-0.6905502750313608,0.03818033869329096,151,82,69,30.0,2024,log(pit_2024/pit_2021)
-0.1820523947458324,0.15294697886142164,-1.1902974226825485,0.2357611583216377,-0.4818284733142188,0.11772368382255399,158,88,70,50.0,2024,log(pit_2024/pit_2021)
