oblast,month,year,month_num,post_invasion,occupation_phase,idp_present,edr_new_companies_nat,edr_new_fops_nat,conflict_events,fatalities,shelling_events
Chernihiv,2021-01,2021,1,0,0,0,4561,18728,,,
Chernihiv,2021-02,2021,2,0,0,0,5018,22543,,,
Chernihiv,2021-03,2021,3,0,0,0,5707,24676,,,
Chernihiv,2021-04,2021,4,0,0,0,5410,24456,,,
Chernihiv,2021-05,2021,5,0,0,0,4092,22558,,,
Chernihiv,2021-06,2021,6,0,0,0,4690,26919,,,
Chernihiv,2021-07,2021,7,0,0,0,4570,29551,,,
Chernihiv,2021-08,2021,8,0,0,0,4305,25605,,,
Chernihiv,2021-09,2021,9,0,0,0,4723,28986,,,
Chernihiv,2021-10,2021,10,0,0,0,4009,25241,,,
Chernihiv,2021-11,2021,11,0,0,0,4982,25282,,,
Chernihiv,2021-12,2021,12,0,0,0,4970,21838,,,
Chernihiv,2022-01,2022,1,0,0,0,3294,24442,,,
Chernihiv,2022-02,2022,2,1,1,1115,4095,22468,,,
Chernihiv,2022-03,2022,3,1,1,6168,503,2049,,,
Chernihiv,2022-04,2022,4,1,1,69841,2157,12925,,,
Chernihiv,2022-05,2022,5,1,0,70304,2897,15666,,,
Chernihiv,2022-06,2022,6,1,0,70618,3268,18241,,,
Chernihiv,2022-07,2022,7,1,0,71141,3052,19339,,,
Chernihiv,2022-08,2022,8,1,0,71595,3071,20314,,,
Chernihiv,2022-09,2022,9,1,0,71809,3172,20296,,,
Chernihiv,2022-10,2022,10,1,0,72569,2702,17430,,,
Chernihiv,2022-11,2022,11,1,0,72351,2886,16061,,,
Chernihiv,2022-12,2022,12,1,0,69839,2756,12056,,,
Chernihiv,2023-01,2023,1,1,0,67243,2249,17060,,,
Chernihiv,2023-02,2023,2,1,0,65320,2803,16573,,,
Chernihiv,2023-03,2023,3,1,0,64509,3316,21893,,,
Chernihiv,2023-04,2023,4,1,0,64149,3054,21804,,,
Chernihiv,2023-05,2023,5,1,0,65104,3429,26142,,,
Chernihiv,2023-06,2023,6,1,0,64978,3389,32080,,,
Chernihiv,2023-07,2023,7,1,0,64374,3112,29400,,,
Chernihiv,2023-08,2023,8,1,0,64259,3442,31311,,,
Chernihiv,2023-09,2023,9,1,0,64027,3406,35937,,,
Chernihiv,2023-10,2023,10,1,0,63805,3463,33438,,,
Chernihiv,2023-11,2023,11,1,0,63562,3175,26195,,,
Chernihiv,2023-12,2023,12,1,0,63304,3065,16382,,,
Chernihiv,2024-01,2024,1,1,0,63092,2765,25532,,,
Chernihiv,2024-02,2024,2,1,0,62916,3236,24425,,,
Chernihiv,2024-03,2024,3,1,0,62496,3372,24482,,,
Chernihiv,2024-04,2024,4,1,0,62323,3303,26984,,,
Chernihiv,2024-05,2024,5,1,0,62368,3112,25216,,,
Chernihiv,2024-06,2024,6,1,0,62387,2609,22276,,,
Chernihiv,2024-07,2024,7,1,0,62428,2818,25394,,,
Chernihiv,2024-08,2024,8,1,0,62633,3007,26240,,,
Chernihiv,2024-09,2024,9,1,0,62987,3052,28212,,,
Chernihiv,2024-10,2024,10,1,0,63018,3087,27417,,,
Chernihiv,2024-11,2024,11,1,0,62829,3108,21625,,,
Chernihiv,2024-12,2024,12,1,0,0,1791,8906,,,
Kharkiv,2021-01,2021,1,0,0,0,4561,18728,,,
Kharkiv,2021-02,2021,2,0,0,0,5018,22543,,,
Kharkiv,2021-03,2021,3,0,0,0,5707,24676,,,
Kharkiv,2021-04,2021,4,0,0,0,5410,24456,,,
Kharkiv,2021-05,2021,5,0,0,0,4092,22558,,,
Kharkiv,2021-06,2021,6,0,0,0,4690,26919,,,
Kharkiv,2021-07,2021,7,0,0,0,4570,29551,,,
Kharkiv,2021-08,2021,8,0,0,0,4305,25605,,,
Kharkiv,2021-09,2021,9,0,0,0,4723,28986,,,
Kharkiv,2021-10,2021,10,0,0,0,4009,25241,,,
Kharkiv,2021-11,2021,11,0,0,0,4982,25282,,,
Kharkiv,2021-12,2021,12,0,0,0,4970,21838,,,
Kharkiv,2022-01,2022,1,0,0,0,3294,24442,,,
Kharkiv,2022-02,2022,2,1,1,1571,4095,22468,,,
Kharkiv,2022-03,2022,3,1,1,24942,503,2049,,,
Kharkiv,2022-04,2022,4,1,1,168422,2157,12925,,,
Kharkiv,2022-05,2022,5,1,1,198908,2897,15666,,,
Kharkiv,2022-06,2022,6,1,1,224339,3268,18241,,,
Kharkiv,2022-07,2022,7,1,1,246691,3052,19339,,,
Kharkiv,2022-08,2022,8,1,1,269006,3071,20314,,,
Kharkiv,2022-09,2022,9,1,1,291263,3172,20296,,,
Kharkiv,2022-10,2022,10,1,0,309531,2702,17430,,,
Kharkiv,2022-11,2022,11,1,0,323833,2886,16061,,,
Kharkiv,2022-12,2022,12,1,0,333861,2756,12056,,,
Kharkiv,2023-01,2023,1,1,0,344238,2249,17060,,,
Kharkiv,2023-02,2023,2,1,0,354288,2803,16573,,,
Kharkiv,2023-03,2023,3,1,0,363788,3316,21893,,,
Kharkiv,2023-04,2023,4,1,0,372202,3054,21804,,,
Kharkiv,2023-05,2023,5,1,0,382018,3429,26142,,,
Kharkiv,2023-06,2023,6,1,0,391174,3389,32080,,,
Kharkiv,2023-07,2023,7,1,0,400547,3112,29400,,,
Kharkiv,2023-08,2023,8,1,0,408463,3442,31311,,,
Kharkiv,2023-09,2023,9,1,0,413659,3406,35937,,,
